,,,,,,,Public Integrity Measures,,,,,Fiscal Openness,,,Citizen Engagement,,,Procurement,Access to Information Mechanisms,,Open Data,Elections,Justice,Public Services,How is it Done?,,,Who is Affected?,,,,Sectors,,,,,,,,,,,,,,Mainstreaming Issues,,OGP,Sum,Line Ministry Contact,,,,Working Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR,2,Dominican Republic,Bolsa de Empleo Publico,"Hacer públicas las vacantes de empleo en la administración pública y que puedan participar en los concursos ciudadanos con las capacidades adecuadas. Base de datos recursos humanos (currículo, etc.).
Status quo o problema que se quiere resolver: Falta de conocimiento sobre vacantes en puestos de trabajo administración pública. Los ciudadanos no están informados sobre los concursos externos abiertos para puestos de trabajo en la administración pública.
Objetivo Principal: Hacer disponible a los servidores públicos de carrera y ciudadanía en general los puestos vacantes en la administración pública a los que estos pueden tener acceso.",Ministerio de Administración Pública,"Ministerio de Trabajo, DIGEIG 
CSOs: Alianza ONG. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,,,,0,0,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
NR,2,Dominican Republic,Continuar Desarrollo del Mecanismo de la Iniciativa Participativa Anticorrupción (IPAC).,"Dar continuidad a la Iniciativa Participativa Anti-Corrupción, como un mecanismo permanente de interacción entre el Gobierno, sociedad civil, sector empresarial, asociaciones sin fines de lucro, academias, gremios profesionales y ciudadanía en general, para la coordinación y desarrollo de iniciativas que mejoren los niveles de transparencia, prevengan la corrupción en la administración pública, fomenten la rendición de cuentas y permitan al Estado dar respuesta a las denuncias que se generen en el marco de este mecanismo.
Status quo o problema que se quiere resolver: No existe una instancia permanente donde los puedan expresar sus inquietudes y participar en la creación de políticas públicas, de acuerdo a sus necesidades reales. 
Objetivo Principal: Crear un espacio en el que los ciudadanos a través de las organizaciones que los representan puedan llevar inquietudes, quejas y propuestas sobre aspectos negativos del gobierno que quisieran sean mejoradas.",DIGEIG,"Congreso Nacional, Gobernaciones Provinciales
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
NR,2,Dominican Republic,Sistema de Ayuntamiento Abierto.,"Promover la elaboración de presupuestos participativos, como ordena la ley 176-07 del Distrito Nacional y los Municipios (artículo 236). A tales fines en un piloto se propugnará la creación de herramientas que permitirán el conocimiento de los proyectos y/o votar por su aprobación o no, ya sea en línea (sitio web) o por cualquier otro mecanismo que use las TIC (SMS por medio al teléfono celular). También esta herramienta fomentara mecanismos diversos de participación ciudadana, como:
- Consulta ciudadanas
- La creación del registro de organizaciones en el municipio
- Empoderar a la sociedad sobre las vías por las cuales reclamar y hacer cumplir sus derechos.
- Hacer más efectivos los canales de comunicación e interacción con el ciudadano
Status quo o problema que se quiere resolver: herramientas y mecanismos de participación a nivel municipal son subutilizados 
Objetivo Principal: Facilitar la participación de la ciudadanía en la elaboración de presupuestos y creación de políticas públicas en sus demarcaciones.",Liga Municipal Dominicana,"DIGEIG, Ayuntamientos a nivel nacional
CSOs: FEDOMU, Ciudad Alternativa",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,0,1,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
NR,2,Dominican Republic,Sistema de Monitoreo Centros de Educación,"Luego de haber superado el otorgamiento del 4% del PIB para el sector educación, el próximo paso será dotar al ciudadano de una herramienta a través de la cual pueda monitorear el desempeño de los centros educativos a nivel nacional. La creación de una plataforma que dé acceso al sistema de gestión de centro educativo, y del proceso de supervisión institucional de cada plantel con indicadores de los estudiantes como edad promedio, género predominante, aprobación de cursos, entre otros., lo que contribuiría con las evaluaciones de impacto que realice dicho Ministerio y la posibilidad de hacer cruces de información según necesidad. De esta manera se lograría una mayor precisión en una medición de impacto sobre el sistema educativo dominicano y la posibilidad de hacer cruces de información instantáneos. Integración de herramientas de monitoreo de asistencia y calificaciones de los estudiantes para los padres y tutores. Esto contribuiría con que los padres se les involucren para que puedan asumir responsabilidades de orientar a sus hijos sobre esta situación y participar en la solución de la misma. Supervisión de la asistencia y calificación de los hijos.
Status quo o problema que se quiere resolver: Falta de herramientas para que los usuarios del sistema escolar público puedan monitorear el desempeño académico de las escuelas públicas y/o sus hijos. 
Objetivo Principal: Elevar la calidad de las escuelas públicas a través del acceso transparentando los resultados de estas y el rendimiento de sus estudiantes.",Ministerio de Educación,"DIGEIG
CSOs: EDUCA, Cerito y Cruz, Asociaciones de Padres",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
NR,2,Dominican Republic,Sistema de Monitoreo y Seguimiento a las ayudas de enfermedades catastróficas.,"Crear las herramientas tecnológicas (aplicación móvil, pagina web) que permitan a los beneficiarios de programas de ayuda para enfermedades catastróficas conocer en tiempo real el inventario de medicamentos para su enfermedad que tiene en stock el Ministerio de Salud Pública, así como hacer solicitudes y dar seguimiento a sus casos. 
Status quo o problema que se quiere resolver: Distribución transparente de los medicamentos. Los beneficiarios de programas de ayuda a enfermedades por el Ministerio de Salud Publica carecen de herramientas para conocer si existen en inventario los medicamentos que solicitan. Objetivo Principal: Que los beneficiaros de programas de medicamentos para enfermedades catastróficas tengan acceso al inventario de estas medicinas que maneja el Ministerio de Salud Pública.",Ministerio de Salud Pública y Asistencia Social,"DIGEIG
CSOs: Asociaciones de Enfermos.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
NR,2,Dominican Republic,Sistema de Información sobre Centros de Salud.,"Creación de una herramienta tecnológica que permita al ciudadano conocer en tiempo real donde están ubicados los centros de salud más cercanos, así como su especialidad, capacidad de pacientes, cantidad de quirófanos, materiales y acceso a la unidad de emergencias. Esta herramienta deberá contar con un mapa interactivo que le facilite al ciudadano acceder a esta información. 
Status quo o problema que se quiere resolver: Falta de información detallada sobre centros de salud y los servicios que ofrecen. Objetivo Principal: Tener disponible para la ciudadanía la información detallada sobre los centros de salud pública a nivel nacional",Ministerio de Salud Pública y Asistencia Social,DIGEIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
NR,2,Dominican Republic,Acceso a Información Medio Ambiental.,"Creación de un portal interactivo a través del cual el ciudadano pueda acceder a informaciones que maneja el Ministerio de Medio Ambiente como:
- Permisos medio ambientales
- Niveles de contaminación de provincias piloto del país.
- Actividades del Ministerio (jornadas de limpieza, reforestación, actividades recreativas)
Este portal debe ser un mecanismo de participación de la ciudadanía en la elaboración de políticas públicas ambientales, incorporando recursos como las vistas públicas y talleres de consulta para elaborar reglamentos, directrices y emisión de permisos, tomando en cuenta a los habitantes de la demarcación que podría ser afectada.

Status quo o problema que se quiere resolver: La ciudadanía no tiene conocimiento de informaciones medioambientales clave sobre su entorno, como niveles de contaminación, permisos emitidos en su demarcación y regulación local sobre la materia. Objetivo Principal: Concentrar las información de medioambiente gubernamentales en un solo portal que facilite su manejo y monitoreo de parte de la ciudadanía.",Ministerio de Medio Ambiente,"DIGEIG
CSOs: ECORED, Centro Atabey, Sociedad Civil a nivel nacional.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,,,,,0,0,0,0,1,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
NR,2,Dominican Republic,Mapa de Seguridad y Asistencia Vial.,"Creación de una herramienta o aplicación para teléfono móvil que permita al ciudadano ver en tiempo real los puntos de asistencia vial en las carreteras del país, solicitar ayuda en caso de emergencias y hacer denuncias.
Status quo o problema que se quiere resolver: Inseguridad en las principales vías de comunicación del país. Cuando el ciudadano tiene un percance en carreteras principales del país, su seguridad se ve vulnerada por la falta de protección y asistencia vial. Objetivo Principal: Hacer disponible y de fácil acceso la información sobre asistencia vial en las carreteras del país, así como permitir al ciudadano enviar alertas a las autoridades.",Ministerio de Obras Publicas y Comunicaciones,DIGEIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
456,1,El Salvador,1: Apertura de Oficinas de Información y Respuesta,Apertura de Oficinas de Información y Respuesta (OIR) en todas las instituciones del Órgano Ejecutivo.,Subsecretaría de Transparencia y Anticorrupción,78 instituciones del Órgano Ejecutivo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,NR,NR,NR,NR,NR,0,A,0,b. medium,2,1,0,1,0,0,1,0,1,0,1,Pre-existing,1,Transformative,3,Clear,Not Specified,Dec-12,1,d. Complete,4,d. Complete,4,0,on schedule,1,0,1,1,Maintenance and monitoring of completed implementation,1,1
457,1,El Salvador,2: Apertura de Oficinas de Información y Repuesta Departamental,Apertura e implementación  de 14 Oficinas de Información y Respuesta en 14 Gobernaciones Departamentales  y  en oficinas regionales y departamentales de otras carteras de Estado.,Subsecretaría de Transparencia y Anticuorrupción,14 Gobernaciones Departamentales,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,NR,NR,NR,NR,NR,0,A,0,b. medium,2,1,0,0,0,0,1,0,1,0,1,Pre-existing,1,Transformative,3,Clear,Not Specified,Dec-12,1,d. Complete,4,d. Complete,4,0,on schedule,1,0,1,1,Maintenance and monitoring of completed implementation,1,1
458,1,El Salvador,3: Derecho de respuesta,Reforma de ley para OBUDSMAN y derecho de respuesta.,Subsecretaría de Transparencia y Anticorrupción,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,A,0,a. low,1,1,0,0,0,0,1,0,1,0,1,New,2,Moderate,2,Clear,Not Specified,Dec-12,1,b. Limited,2,Withdrawn,NA,NA,NA,0,0,0,0,None: Abandon co,1,1
459,1,El Salvador,4: Carta de derechos de Usuarios,Divulgación de Cartas de Derechos de los usuarios,Subsecretaría de Transparencia y Anticorrupción,None specified,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,A,0,None,0,0,1,1,0,0,1,0,1,0,1,Pre-existing,1,Unclear,0,Clear,Not Specified,Dec-12,1,c. Substantial,3,d. Complete,4,1,behind schedule,1,0,1,1,Further work on basic implementation,1,1
460,1,El Salvador,5: Monitoreo Ciudadano a Servicios Públicos,Monitoreo ciudadano a los servicios públicos (“El peor trámite de mi vida”) y mejora de los principales servicios en 60 días.,Subsecretaría de Transparencia y Anticorrupción,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,A,0,None,0,0,1,1,0,0,0,1,0,0,1,New,2,Moderate,2,Clear,Not Specified,Dec-12,1,a. Not started,1,d. Complete,4,3,behind schedule,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
461,1,El Salvador,6: Programa de Educación a Distancia,Desarrollo de  un  programa de educación a distancia para aumentar la capacidad de los servidores públicos sobre la cuestión del acceso a la información.,Subsecretaría de Transparencia y Anticorrupción,None specified,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,A,0,b. medium,2,0,1,0,0,0,1,0,0,1,1,New,2,Minor,1,Clear,Not Specified,Dec-13,0,c. Substantial,3,c. Substantial,3,0,on schedule,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
462,1,El Salvador,7: Mejora de la Rendición de Cuentas,"Mejora en cada año, la calidad de los ejercicios de rendición de cuentas, de forma que se convierta en una cultura institucional y en un compromiso irreversible de los siguientes Gobiernos.",Subsecretaría de Transparencia y Anticorrupción,78 Instituciones del Órgano ejecutivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,B,0,a. low,1,1,0,0,0,0,1,0,1,0,1,Pre-existing,1,Unclear,0,Clear,Not Specified,May-14,0,c. Substantial,3,c. Substantial,3,0,on schedule,1,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
463,1,El Salvador,8: Rendición de Cuentas Departamental,Ampliar  los  ejercicios  de  rendición  de  cuentas  a  los  Gabinetes  de  Gestión  Departamental,Subsecretaría de Transparencia y Anticorrupción,14 Gabinetes Departamentales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,B,0,a. low,1,1,0,0,0,0,1,0,1,0,1,New,2,Unclear,0,Clear,Not Specified,May-14,0,d. Complete,4,d. Complete,4,0,on schedule,1,1,0,1,New commitment building existing implementation,1,1
464,1,El Salvador,9: Pactos de Integridad,El compromiso especifica un cronograma claro para cumplimiento.,Subsecretaría de Transparencia y Anticorrupción,None specified,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,B,0,a. low,1,0,1,0,1,0,1,1,1,0,1,Pre-existing,1,Transformative,3,Clear,Not Specified,May-14,0,c. Substantial,3,c. Substantial,3,0,on schedule,1,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
465,1,El Salvador,10: Asistencia Legal para Interponer Quejas,"Instalado y en funcionamiento un sistema público privado que ofrezcan asistencia legal dentro de cada institución gubernamental a los ciudadanos que deseen interponer una queja, aviso o demanda por incumplimiento de labores o servicio brindado por el Estado, cuya estructura se creará en alianza con el sector privado, el sector académico y la sociedad civil.",Subsecretaría de Transparencia y Anticurrupción,None specified,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,B,0,b. medium,2,0,0,1,0,0,0,1,1,0,1,Pre-existing,1,Transformative,3,Clear,Not Specified,Dec-12,1,a. Not started,1,a. Not started,1,0,on schedule,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
466,1,El Salvador,11: Publicación de Casos Emblemáticos de Corrupción,Estudio y presentación pública de casos emblemáticos de corrupción.,Subsecretaría de Transparencia y Anticorrupción,Transparencia Activa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,C,0,a. low,1,1,1,0,0,0,1,0,1,0,1,New,2,Moderate,2,Clear,Not Specified,May-14,0,c. Substantial,3,c. Substantial,3,0,on schedule,1,1,0,1,Further work on basic implementation,1,1
467,1,El Salvador,12:Transparencia en Procesos de Inversión,Agilización y transparencia en procesos de inversión pública,Subsecretaría de Transparencia y Anticorrupción,Unidad Normativa de Adquisiciones y Contrataciones (UNAC) del Ministerio de Hacienda.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,C,0,None,0,0,0,1,1,0,1,0,0,0,1,New,2,Unclear,0,Clear,Not Specified,May-14,0,c. Substantial,3,Withdrawn,NA,NA,NA,1,1,1,1,New commitment building existing implementation,1,1
468,1,El Salvador,13: Profesionalizar Unidades de Auditoría,"Formación de comités de auditoría y profesionalizadas las Unidades de Auditoría Interna del Órgano Ejecutivo en temas específicos enfocados al combate a la corrupción, como son detección de fraude, auditoría forense, procesos de compras, preparación de planes de trabajo bajo el enfoque de riesgo, tipificación de un acto administrativo como delito penal, etc.",Subsecretaría de Transparencia y Anticorrpción,None specified,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,C,0,b. medium,2,1,1,0,0,0,0,0,0,0,0,New,2,Transformative,3,Clear,Not Specified,May-14,0,b. Limited,2,Withdrawn,NA,NA,NA,0,0,0,1,New commitment building existing implementation,1,1
469,1,El Salvador,14: Ley de Partidos Políticos,Promover  una Ley  de  Partidos Políticos  con  regulación  de la  publicidad  electoral.,Subsecretaría de Transparencia y Anticorrupción,Subsecretaría de Gobernabilidad y Modernización del Estado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,C,0,a. low,1,1,0,0,1,0,1,0,1,0,1,Pre-existing,1,Transformative,3,Clear,Not Specified,May-14,0,d. Complete,4,d. Complete,4,0,on schedule,1,0,0,1,New commitment building existing implementation,1,1
470,1,El Salvador,15: Servicio de Intermediación de Empleo Público,"En coordinación con el Ministerio de Trabajo, establecido un servicio de intermediación de empleo que se vuelve de obligatorio uso para todas la entidades del Órgano Ejecutivo al momento de contratar a los empleados públicos (ya sea bajo la modalidad de contrato o ley de salarios), cuyo objetivo sea transparentar y volver lo más objetivos posibles estos proceso.",Subsecretaría de Transparencia y Anticorrupción,Ministerio de Trabajo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,C,1,b. medium,2,0,0,1,0,0,1,0,0,0,1,Pre-existing,1,Transformative,3,Clear,Not Specified,May-14,0,b. Limited,2,c. Substantial,3,1,behind schedule,0,0,0,1,New commitment building existing implementation,1,1
471,1,El Salvador,16: Portal de Transparencia Fiscal,Apertura del portal Transparencia Fiscal con información sobre ingreso y evolución de gasto.,Subsecretaría de Transparencia y Anticorrupción,Ministerio de Hacienda,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,D,0,b. medium,2,0,1,1,0,0,1,0,0,1,1,Pre-existing,1,Transformative,3,Clear,Not Specified,Dec-12,1,d. Complete,4,d. Complete,4,0,on schedule,1,0,1,1,New commitment building existing implementation,1,1
472,1,El Salvador,17: Ranking de Banca Privada,"Publicar un Ranking de Banca Privada (con información sobre las comisiones, requisitos, intereses) para apoyar la decisión razonada de la población.",Subsecretaría de Transparencia y Anticorrupción,Superintendencia del Sistema Financiero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,D,0,b. medium,2,1,0,1,1,0,1,1,0,1,1,Pre-existing,1,Moderate,2,Clear,Not Specified,Dec-12,1,d. Complete,4,d. Complete,4,0,on schedule,1,0,1,1,Revision of the commitment to be more achievable or measurable,1,1
473,1,El Salvador,18: Catalogo de Proyectos Prioritarios de Gobierno,"Publicación de catálogo de proyectos prioritarios del gobierno, con información consolidada en portal Gobierno Transparente.",Subsecretaría de Transparencia y Anticorrupción,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,D,0,b. medium,2,0,1,1,0,0,1,0,0,0,1,New,2,Minor,1,Clear,Not Specified,May-14,0,a. Not started,1,c. Substantial,3,2,behind schedule,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
474,1,El Salvador,19:Ampliación de E-regulations,Ampliación de E-regulations que beneficie inversión internacional.,Subsecretaría de Transparencia y Anticorrupción,Ministerio de Economía,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,D,0,a. low,1,0,0,1,0,1,1,0,0,1,1,New,2,Moderate,2,Clear,Not Specified,Dec-12,1,d. Complete,4,d. Complete,4,0,on schedule,1,1,0,0,None: Completed implementation,1,1
475,1,El Salvador,20: Transparencia Focalizada,"Instalado y en funcionamiento un espacio electrónico dentro del Portal único de Transparencia llamado “Transparencia Focalizada” a través del cual el Gobierno busca brindar información de utilidad al ciudadano para mejorar su toma de decisiones en relación a los productos, trámites, precio, calidad y servicios.",Subsecretaría de Transparencia y Anticorrupción,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,D,0,b. medium,2,0,0,0,0,1,1,1,0,0,1,New,2,Minor,1,Clear,Not Specified,Dec-12,1,d. Complete,4,d. Complete,4,0,on schedule,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
476,1,El Salvador,"21: Periódico digital ""Transparencia Activa""","Instalado y en funcionamiento el periódico digital no propagandístico “Transparencia Activa,” que envía información periódica a por lo menos 50,000 personas, cuyo objetivo principal es acercar la gestión del Órgano Ejecutivo a la población, facilitando la información que le es de utilidad al ciudadano; para ello contará con tres herramientas:",Subsecretaría de Transparencia y Anticorrupción,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,D,0,b. medium,2,1,0,0,0,0,1,1,1,0,1,New,2,Minor,1,Clear,Not Specified,Dec-12,1,d. Complete,4,d. Complete,4,0,on schedule,0,0,0,1,Maintenance and monitoring of completed implementation,1,1
NR,2,El Salvador,1.1. Desarrollar e implementar un proyecto de sistema informático en los hospitales nacionales para el manejo integral de los expedientes de los pacientes. Para facilitar la transferencia de información médica entre cualquier hospital. Este se implementará bajo los principios de software libre (copyleft).,1.1. Desarrollar e implementar un proyecto de sistema informático en los hospitales nacionales para el manejo integral de los expedientes de los pacientes. Para facilitar la transferencia de información médica entre cualquier hospital. Este se implementará bajo los principios de software libre (copyleft).,Ministerio de Salud y Fondo Solidario para la Salud.,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,0,0,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
NR,2,El Salvador,"1.2. Elaborar las cartas de derecho en salud, en las cuales se presente de forma clara y precisa los derechos y deberes de la ciudadanía. Colocarlas visibles en cada establecimiento y socializarlas con el personal y con la población e incorporarlas en los lineamientos técnicos del Ministerio.","1.2. Elaborar las cartas de derecho en salud, en las cuales se presente de forma clara y precisa los derechos y deberes de la ciudadanía. Colocarlas visibles en cada establecimiento y socializarlas con el personal y con la población e incorporarlas en los lineamientos técnicos del Ministerio.",Ministerio de Salud y Fondo Solidario para la Salud.,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,0,0,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
NR,2,El Salvador,"1.3. Desarrollar y poner en marcha un sistema de quejas y denuncias sobre malos tratos y de tomar acciones para garantizar el derecho a la salud de los usuarios del sistema público, tanto en componentes presenciales como virtuales. Se iniciará un plan piloto con 7 hospitales nacionales","1.3. Desarrollar y poner en marcha un sistema de quejas y denuncias sobre malos tratos y de tomar acciones para garantizar el derecho a la salud de los usuarios del sistema público, tanto en componentes presenciales como virtuales. Se iniciará un plan piloto con 7 hospitales nacionales",Ministerio de Salud.,None specified,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,0,0,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
